AÑO,MONEDA,GIRO,NUMERO DE NIVELES,ENTIDAD,TIPO DE BIEN,COBERTURA,CAUSA DEL SINIESTRO,NUMERO DE SINIESTROS,MONTO DE SINIESTRO,GASTO DE AJUSTE,SALVAMENTO,MONTO PAGADO,MONTO DE DEDUCIBLE,MONTO COASEGURO
2015,Extranjera,Comercio al por menor en tiendas departamentales,6,Distrito Federal,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,0.0,3551.0,0.0,0.0,0.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,7,Estado de Mexico,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,72920.0,3527.0,0.0,86825.0,12246.0,0.0
2015,Extranjera,Comercio al por menor en tiendas departamentales,22,Estado de Mexico,Edificio,"Incendio, rayo y explosion",Rayo,1.0,-659.0,3559.0,0.0,0.0,0.0,0.0
2015,Extranjera,"Conservacion de frutas, verduras y guisos",2,Sonora,Edificio,"Incendio, rayo y explosion",Cerillos Y Cigarros,1.0,-2370488.0,94246.0,0.0,2343957.0,0.0,0.0
2015,Extranjera,Consultorios medicos,1,Baja California,Contenidos,"Incendio, rayo y explosion",Descargas Accidentales De Agua O Vapor,1.0,60668.0,0.0,0.0,60368.0,0.0,0.0
2015,Extranjera,Consultorios medicos,1,Baja California,Contenidos,"Incendio, rayo y explosion",Incendio Por Lluvia,1.0,0.0,37622.0,0.0,0.0,0.0,0.0
2015,Extranjera,Consultorios medicos,1,Baja California,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,-134.0,1502.0,0.0,0.0,0.0,0.0
2015,Extranjera,Consultorios medicos,1,Quintana Roo,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,400000.0,0.0,0.0,0.0,0.0,0.0
2015,Extranjera,Consultorios medicos,5,Baja California,Contenidos,"Incendio, rayo y explosion",Corto Circuito / Electricidad,1.0,37025.0,611.0,0.0,0.0,0.0,0.0
2015,Extranjera,Consultorios medicos,5,Jalisco,Contenidos,"Incendio, rayo y explosion",Rayo,1.0,-8234.0,1530.0,0.0,0.0,0.0,0.0
2015,Extranjera,Cultivo de granos y semillas oleaginosas,1,Sonora,Contenidos,"Incendio, rayo y explosion",Agua No Atmosferica,1.0,0.0,365123.0,0.0,0.0,0.0,0.0
2015,Extranjera,Cultivo de granos y semillas oleaginosas,1,Sinaloa,Contenidos,"Incendio, rayo y explosion",Incendio Por Lluvia,1.0,0.0,3105.0,0.0,0.0,0.0,0.0
2015,Extranjera,Cultivo de granos y semillas oleaginosas,1,Tabasco,Edificio,Huelgas o Alborotos Populares,Incendio Por Lluvia,1.0,0.0,1573.0,0.0,0.0,0.0,0.0
2015,Extranjera,Cultivo de granos y semillas oleaginosas,1,Sonora,Perdidas Consecuenciales,Remocion de Escombros,Agua No Atmosferica,1.0,278804.0,0.0,0.0,328406.0,0.0,0.0
2015,Extranjera,Cultivo de granos y semillas oleaginosas,2,Sinaloa,Edificio,"Incendio, rayo y explosion",Corto Circuito / Electricidad,1.0,-3425063.0,40250.0,0.0,0.0,0.0,0.0
2015,Extranjera,Cultivo de granos y semillas oleaginosas,3,Estado de Mexico,Edificio,"Incendio, rayo y explosion",Incendio Por Lluvia,1.0,-376731.0,3042.0,0.0,0.0,0.0,0.0
