Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado
2017,1,Aguascalientes,1,Aguascalientes,10,El Llano,4,Bovino,1,Carne,563.001,241.114,71.82,40434.094,2335
2017,1,Aguascalientes,1,Aguascalientes,10,El Llano,4,Bovino,3,Ganado en pie,1064.782,456.009,38.5,40991.18,0
2017,1,Aguascalientes,1,Aguascalientes,10,El Llano,4,Bovino,6,Leche,20959.312,0,6.18,129488.83,0
2017,1,Aguascalientes,1,Aguascalientes,10,El Llano,6,Caprino,1,Carne,5.16,21.061,60.59,312.64,245
2017,1,Aguascalientes,1,Aguascalientes,10,El Llano,6,Caprino,3,Ganado en pie,9.98,40.735,29.58,295.21,0
2017,1,Aguascalientes,1,Aguascalientes,10,El Llano,12,Ovino,1,Carne,20.44,24.957,65.52,1339.23,819
2017,1,Aguascalientes,1,Aguascalientes,10,El Llano,12,Ovino,3,Ganado en pie,37.51,45.8,33.87,1270.46,0
2017,1,Aguascalientes,1,Aguascalientes,10,El Llano,14,Porcino,1,Carne,184.58,79.595,38.09,7030.283,2319
2017,1,Aguascalientes,1,Aguascalientes,10,El Llano,14,Porcino,3,Ganado en pie,252.218,108.762,24.98,6301.381,0
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,1,Abeja,7,Miel,11.049,0,45.63,504.151,0
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave,1,Carne,7796.07,1.579,28.17,219582.064,4938037
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave,8,Ganado en pie,10039.029,2.033,19.58,196552.695,0
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,3,Ave,4,Huevo-plato,4425.81,0,20,88516.2,0
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,1,Carne,6482.579,238.33,72.23,468266.736,27200
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,3,Ganado en pie,12035.665,442.488,38.96,468920.007,0
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,4,Bovino,6,Leche,48997.101,0,6.18,302842.23,0
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,6,Caprino,1,Carne,16.48,21.047,60.49,996.88,783
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,6,Caprino,3,Ganado en pie,31.719,40.51,29.44,933.81,0
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,12,Ovino,1,Carne,39.99,23.775,65.5,2619.35,1682
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,12,Ovino,3,Ganado en pie,76.699,45.6,33.35,2557.91,0
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,14,Porcino,1,Carne,661.13,80.655,38.83,25673.131,8197
2017,1,Aguascalientes,1,Aguascalientes,5,Jesús María,14,Porcino,3,Ganado en pie,907.469,110.707,24.8,22508.362,0
2017,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,1,Abeja,7,Miel,22.149,0,45.62,1010.538,0
2017,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,3,Ave,1,Carne,60291.45,1.768,28.44,1714498.183,34104287
2017,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,3,Ave,8,Ganado en pie,76734.646,2.25,19.76,1516465.719,0
2017,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,1,Carne,1234.102,246.426,71.64,88407.295,5008
2017,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,3,Ganado en pie,2322.327,463.723,38.42,89212.652,0
2017,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,4,Bovino,6,Leche,35530.957,0,6.18,219644.63,0
2017,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,6,Caprino,1,Carne,14.03,20.754,60.49,848.67,676
2017,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,6,Caprino,3,Ganado en pie,27.489,40.664,29.47,810.1,0
2017,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,12,Ovino,1,Carne,45.47,24.148,65.48,2977.38,1883
2017,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,12,Ovino,3,Ganado en pie,86.053,45.7,33.85,2912.89,0
2017,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,14,Porcino,1,Carne,4280.6,81.839,38.78,165980.977,52305
2017,1,Aguascalientes,1,Aguascalientes,6,Pabellón de Arteaga,14,Porcino,3,Ganado en pie,5679.639,108.587,25.11,142641.327,0
2017,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,1,Abeja,7,Miel,12.921,0,45.63,589.56,0
2017,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,3,Ave,1,Carne,24695.79,1.729,28.43,702062.379,14283196
2017,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,3,Ave,8,Ganado en pie,31423.031,2.2,19.59,615482.046,0
2017,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,4,Bovino,1,Carne,3568.472,240.56,72.22,257725.712,14834
2017,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,4,Bovino,3,Ganado en pie,6638.447,447.516,38.94,258499.092,0
2017,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,4,Bovino,6,Leche,48275.351,0,6.18,298565,0
2017,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,6,Caprino,1,Carne,4.53,21.07,60.59,274.47,215
2017,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,6,Caprino,3,Ganado en pie,8.627,40.126,29.57,255.1,0
2017,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,12,Ovino,1,Carne,35.77,24.669,65.29,2335.42,1450
2017,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,12,Ovino,3,Ganado en pie,65.685,45.3,33.79,2219.5,0
2017,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,14,Porcino,1,Carne,187.03,79.962,38.06,7118.165,2339
2017,1,Aguascalientes,1,Aguascalientes,7,Rincón de Romos,14,Porcino,3,Ganado en pie,254.885,108.972,24.96,6362.155,0
2017,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,1,Abeja,7,Miel,54.56,0,45.61,2488.232,0
2017,1,Aguascalientes,1,Aguascalientes,11,San Francisco de Los Romo,3,Ave,1,Carne,39096.88,1.792,28.03,1095890.842,21814589
